1531499374137240919,0,16408951,1
1531499374151383820,1,14132893,1
1531499374181832023,2,30440583,1
1531499374191655740,3,9820771,1
1531499374201989257,4,10330659,1
1531499374212183036,5,10190625,1
1531499374222612274,6,10426421,1
1531499374236805043,7,14190009,1
1531499374250938204,8,14130267,1
1531499374260280885,9,9339701,1
1531499374274539290,10,14255470,1
1531499374321513800,11,46971516,1
1531499374340726084,12,19209449,1
1531499374359469520,13,18740623,1
1531499374378498181,14,19025810,1
1531499374398176683,15,19675156,1
1531499374414488625,16,16309061,1
1531499374461616702,17,47125169,1
1531499374471609856,18,9990215,1
1531499374481799291,19,10186692,1
1531499374491286041,20,9483967,1
1531499374500550341,21,9260985,1
1531499374509712957,22,9159887,1
1531499374520279316,23,10563659,1
1531499374534363802,24,14081855,1
1531499374548589947,25,14223394,1
1531499374557651549,26,9058266,1
1531499374602357163,27,44702975,1
1531499374639142607,28,36782753,1
1531499374668056908,29,28911350,1
1531499374692712942,30,24653357,1
1531499374731504133,31,38788437,1
1531499374746320876,32,14814080,1
1531499374758256139,33,11932684,1
1531499374769772653,34,11513665,1
1531499374780131765,35,10356446,1
1531499374797042005,36,16907474,1
1531499374811248661,37,14203856,1
1531499374820538065,38,9286198,1
1531499374829690231,39,9149566,1
1531499374851858171,40,22165286,1
1531499374862980586,41,11119742,1
1531499374883205997,42,20222703,1
1531499374902077515,43,18868671,1
1531499374921384972,44,19304801,1
1531499374940926426,45,19538906,1
1531499374989086789,46,48157609,1
1531499375003285907,47,14196433,1
1531499375016399539,48,13105481,1
1531499375029686285,49,13284125,1
1531499375043739294,50,14050371,1
1531499375054502025,51,10760170,1
1531499375064809906,52,10304604,1
1531499375075429176,53,10616530,1
1531499375105537330,54,30105537,1
1531499375115092008,55,9552006,1
1531499375124071997,56,8977272,1
1531499375133078579,57,9003589,1
1531499375142503911,58,9421582,1
1531499375159029395,59,16522568,1
1531499375178902706,60,19870297,1
1531499375197282046,61,18376407,1
1531499375252678188,62,55393092,1
1531499375268802956,63,16121875,1
1531499375281951747,64,13145968,1
1531499375296054755,65,14100194,1
1531499375309770856,66,13713094,1
1531499375335034182,67,25260515,1
1531499375346743950,68,11706814,1
1531499375373114735,69,26367902,1
1531499375383726874,70,10609288,1
1531499375393399687,71,9669890,1
1531499375402304959,72,8902308,1
1531499375411660273,73,9352355,1
1531499375420965501,74,9301748,1
1531499375429549104,75,8580302,1
1531499375441058214,76,11505103,1
1531499375461710081,77,20648288,1
1531499375533811533,78,72097916,1
1531499375547787202,79,13963932,1
1531499375562273476,80,14483394,1
1531499375576646575,81,14370256,1
1531499375590393110,82,13743568,1
1531499375603895687,83,13499554,1
1531499375617866841,84,13968224,1
1531499375631036675,85,13166943,1
